"S.N.","Crop/Product","Support/Purchase Price","Unit","FY 2078/079","FY 2079/080","FY 2080/081","Remarks"
"1","Paddy (Thick)","Minimum Support Price","Rs/Quintal","2867","3196","3740/11",""
"2","Paddy (Medium)","Minimum Support Price","Rs/Quintal","3126","3332","3840/12",""
"3","Paddy (Chete)","","Rs/Quintal","-","2707/36","2800/16","With up to 18% moisture"
"4","Wheat","","Rs/Quintal","3355","3640","3726/33",""
"5","Sugarcane","Minimum Purchase Price","Rs/Quintal","545","565","565",""
"","Sugarcane","Subsidy for transportation","Rs/Quintal","70","70","-",""
"6","Raw Milk","Price received by farmers","Rs/Ltr. (4% fat, 8% SNF)","65","-","-",""
