"Crop","2078/079 Area (ha)","2078/079 Production (mt)","2079/080 Area (ha)","2079/080 Production (mt)","2080/081 Area (ha)","2080/081 Production (mt)"
"Oilseeds","260,645","263,344","243,046","270,422","239,033","266,561"
"Potato","196,256","3,400,279","203,621","3,648,196","211,054","3,521,984"
"Tobacco","570","221","404","114","-","-"
"Sugarcane","65,567","3,596,344","64,333","3,820,109","55,440","2,786,045"
"Jute","7,181","10,231","7,370","10,210","7,270","10,270"
"Cotton","145","137","60","65","56","56"
