"S.N.","Area","2078/079 Value","2078/079 Percentage","2079/080 Value","2079/080 Percentage","2080/081* Value","2080/081* Percentage"
"1","Agriculture Sector (Agriculture, Forest, Fishery)","10,406,929.69","24.54","11,338,722.53","23.91","11,962,674.80","24.09"
"2","Non-agriculture","33,295,469.24","75.46","36,064,519.17","76.09","37,732,444.50","75.91"
"","GDP/Total Value Added (Base Year Value Increase)","42,542,398.91","","47,403,241.70","","50,500,123.23",""
"","Gross Domestic Product (Producer’s Value)","52,346,251.69","","58,467,829.61","","63,605,445.43",""
