"Crop","2078/079 Area (ha)","2078/079 Production (mt)","2079/080 Area (ha)","2079/080 Production (mt)","2080/081 Area (ha)","2080/081 Production (mt)"
"Paddy","1,473,736","5,130,619","1,462,792","4,686,027","1,436,565","5,374,324"
"Maize","956,565","3,107,339","978,084","3,209,840","991,074","3,133,669"
"Wheat","734,576","2,188,966","727,795","2,143,228","679,547","2,035,423"
"Millet","265,971","310,169","229,884","301,187","226,685","300,932"
"Barley","29,937","39,974","29,991","40,042","16,655","21,631"
"Buckwheat","16,123","19,200","14,382","18,073","11,752","14,649"
"Total","3,477,908","10,796,267","3,442,928","10,399,396","3,362,278","10,880,628"
